ID,"??,??","CC,CC","00,00","FF,FF","C5,C5","10,6B","25,25","10,94","10,62","10,69","22,10","10,B0","10,10","FF,00","F4,10","00,FF","D5,10","B5,10","B7,10","38,38","6B,6B","06,F9","F9,F9","6B,10","F0,F0","D6,D6","94,10","62,10","B0,10","69,10","10,D5","10,22","10,F4","02,02","10,B5","10,B7","02,D6","F9,06","F0,01","06,06","8F,8F","04,04","A6,A6","38,04","D6,02","06,9F","75,DE","03,03","75,F5","75,87","02,8F","6C,30","75,41","2A,2A","91,91","95,04","25,3D","75,69","9C,04","06,71","06,19","D9,04","51,51","D4,D4","4A,4A","14,14","9D,9D","DB,DB","58,04","06,AF","04,38","06,BB","EF,EF","02,A3","02,1E","0B,0B","12,12","06,6C","4D,4D","BD,BD","75,75","9F,06","0C,0C","46,46","F5,75","DE,75","62,62","B6,B6","68,68","30,6C","EC,EC","87,75","69,75","8F,02","41,75","53,53","4B,11","33,33","43,00","04,95","04,9C","7E,7E","3D,25","19,06","71,06","18,18","04,D9","DD,DD","E9,E9","3B,3B","5E,5E","5D,5D","6D,6D","FD,8B","6C,06","01,F0","69,69","02,0E","AF,06","BB,06","F5,F5","C7,C7","20,20","39,39","04,58","06,D4","4B,3C","40,40","04,C5","89,89","01,01","02,70","7D,7D","FC,FC","A3,02","06,F7","1E,02","11,4B","02,64","C4,C4","50,50","02,5A","6A,6A","06,1A","02,F1","C1,C1","0F,0F","48,48","06,25","6D,46","08,08","FD,46","95,46","B8,46","C3,C3","56,56","60,F3","02,DF","60,2A","7B,46","60,9F","74,74","60,4B","02,C8","55,55","CF,CF","06,1C","06,0E","FD,F7","37,37"
04hSzLv5s2TDYPlcgpHB,8025.0,12.0,20773.0,329.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,2.0,70.0,2.0,37.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,9.0,1.0,0.0,2.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,477.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0
05aiMRw13bYWqZ8OHvjl,12276.0,672.0,25141.0,6836.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5164.0,3603.0,2.0,1483.0,1.0,1.0,3.0,0.0,9.0,0.0,1.0,0.0,15.0,3.0,0.0,14.0,0.0,2.0,1.0,0.0,1.0,32.0,0.0,1.0,0.0,0.0,5.0,0.0,7.0,10.0,0.0,3.0,0.0,0.0,0.0,20.0,4.0,5.0,1.0,0.0,7.0,0.0,0.0,10.0,3.0,0.0,1.0,1.0,2.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,7.0,6.0,2.0,2.0,3.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,11.0,71.0,0.0,11.0,20.0,9.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,6.0,1.0,0.0,0.0,4.0,2.0,11.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,48.0,4.0,2.0,1.0,3.0,33.0,4.0,0.0,147.0,3991.0,0.0,4.0,3.0,3.0,0.0,0.0,1.0,2.0,44.0,1.0,1.0,0.0,0.0,4.0,15.0,14.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,67.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,2.0,1.0
065EZhxgbLRSHsB87uIF,8343.0,607.0,20862.0,8864.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,205.0,4589.0,1.0,4768.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,0.0,0.0,0.0,0.0,4.0,44.0,1.0,53.0,0.0,4.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,8.0,13.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,27.0,2.0,4.0,0.0,0.0,0.0,21.0,5.0,1.0,4.0,7.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,56.0,0.0,3.0,27.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,6.0,0.0,7.0,0.0,0.0,4.0,13.0,0.0,1.0,21.0,0.0,1.0,0.0,0.0,0.0,68.0,10.0,2.0,0.0,2.0,22.0,2.0,0.0,186.0,1.0,0.0,3.0,2.0,1.0,15.0,0.0,0.0,16.0,39.0,0.0,1.0,0.0,0.0,8.0,6114.0,5.0,2.0,0.0,26.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,14.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0
08BX5Slp2I1FraZWbc6j,193.0,190.0,166317.0,1347.0,0.0,1.0,0.0,4.0,1.0,4.0,22.0,2.0,9.0,187.0,1.0,389.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,0.0,3.0,14.0,1.0,1.0,52.0,0.0,6.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,6.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,8.0,2.0,0.0,1.0,5.0,0.0,1.0,1.0,4.0,0.0,5.0,1.0,48.0,0.0,0.0,0.0,2.0,61.0,1.0,28.0,34.0,6.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,1.0,2.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,5.0,3.0,0.0,2.0,0.0,1.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,2.0,1.0,0.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
0aVNj3qFgEZI6Akf4Kuv,5468.0,19.0,20706.0,794.0,8.0,1.0,8.0,0.0,0.0,1.0,2.0,1.0,1.0,80.0,0.0,73.0,0.0,1.0,1.0,1.0,3.0,0.0,128.0,0.0,9.0,91.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,10.0,18.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,15.0,0.0,3.0,3.0,2.0,5.0,3.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,2.0,3.0,3.0,4.0,10.0,0.0,5.0,0.0,4.0,9.0,0.0,3.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,441.0,0.0,6.0,2.0,2.0,2.0,7.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,16.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,156.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,13.0,1.0,0.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,0.0,1.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,0.0,5.0,8.0,3.0,0.0,0.0,5.0
0DbLeKSoxu47wjqVHsi9,19176.0,212.0,10779.0,3107.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,58.0,418.0,2.0,367.0,1.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,16.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,24.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,26.0,0.0,1.0,18.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,8.0,2.0,5.0,2.0,0.0,0.0,32.0,4.0,0.0,2.0,3.0,0.0,7.0,3.0,0.0,0.0,2.0,0.0,5.0,84.0,0.0,2.0,947.0,1.0,0.0,0.0,0.0,1.0,2.0,43.0,1.0,6.0,3.0,0.0,0.0,4.0,2.0,7379.0,2.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,48.0,5.0,2.0,0.0,2.0,24.0,3.0,0.0,155.0,1.0,0.0,744.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,1.0,0.0,0.0,4.0,63.0,15.0,0.0,1.0,21.0,1.0,0.0,0.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2192.0,0.0
0EL7OGZKozbiNCVP61gk,10441.0,33.0,117838.0,38568.0,11.0,4.0,6.0,9.0,8.0,10.0,3.0,11.0,15.0,487.0,11.0,501.0,4.0,7.0,10.0,32.0,5.0,13.0,6.0,7.0,7.0,5.0,17.0,10.0,10.0,5.0,5.0,3.0,8.0,12.0,7.0,3.0,7.0,11.0,20.0,13.0,11.0,10.0,4.0,23.0,14.0,9.0,10.0,6.0,13.0,12.0,12.0,16.0,7.0,7.0,7.0,12.0,19.0,11.0,4.0,7.0,10.0,10.0,7.0,9.0,7.0,4.0,12.0,3.0,10.0,3.0,18.0,12.0,9.0,4.0,4.0,10.0,9.0,17.0,7.0,8.0,8.0,17.0,10.0,7.0,9.0,5.0,5.0,4.0,6.0,17.0,13.0,8.0,4.0,16.0,14.0,7.0,8.0,25.0,306.0,7.0,9.0,11.0,9.0,11.0,12.0,8.0,8.0,3.0,8.0,16.0,5.0,10.0,7.0,8.0,8.0,5.0,11.0,12.0,13.0,9.0,4.0,7.0,18.0,20.0,7.0,10.0,18.0,5.0,9.0,7.0,14.0,9.0,12.0,9.0,14.0,7.0,10.0,8.0,12.0,30.0,6.0,5.0,8.0,6.0,6.0,11.0,8.0,7.0,8.0,10.0,7.0,8.0,14.0,8.0,4.0,3.0,8.0,10.0,11.0,9.0,6.0,12.0,1.0,5.0,4.0,17.0,6.0,12.0,10.0,15.0
0eN9lyQfwmTVk7C2ZoYp,1291365.0,46.0,4923.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0gcZkSFr7VnEmLPbTxUe,426.0,1.0,14107.0,2233.0,8.0,1.0,4.0,4.0,7.0,8.0,6.0,6.0,5.0,2982.0,3.0,3025.0,5.0,4.0,2.0,10.0,4.0,430.0,17562.0,3.0,5.0,5.0,12.0,4.0,7.0,7.0,8.0,5.0,13.0,2.0,6.0,5.0,3.0,475.0,23.0,77.0,6.0,66.0,10.0,15.0,4.0,19.0,15.0,4.0,20.0,19.0,4.0,6.0,22.0,5.0,6.0,11.0,4.0,28.0,8.0,13.0,21.0,13.0,5.0,1.0,59.0,7.0,2.0,9.0,6.0,18.0,21.0,18.0,6.0,4.0,5.0,5.0,4.0,26.0,0.0,5.0,62.0,5.0,63.0,3.0,13.0,16.0,9.0,7.0,5.0,7.0,6.0,8.0,26.0,6.0,23.0,6.0,9.0,8.0,145.0,20.0,20.0,3.0,9.0,17.0,19.0,3.0,19.0,3.0,4.0,6.0,18804.0,3.0,27.0,43.0,12.0,21.0,0.0,8.0,10.0,17.0,2.0,7.0,4.0,11.0,15.0,14.0,7.0,7.0,15.0,9.0,47.0,4.0,4.0,8.0,3.0,20.0,3.0,10.0,6.0,14.0,159.0,3.0,64.0,16.0,5.0,5.0,7.0,7.0,26.0,8.0,82.0,9.0,4.0,3.0,5.0,75.0,4.0,8.0,3.0,6.0,5.0,201.0,2.0,5.0,7.0,4.0,13.0,16.0,6.0,4.0
0GUIi7xAlODwZ4YBenNM,194052.0,2792.0,13072.0,502.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,75.0,161.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,9.0,1.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,2.0,0.0,0.0,1.0,84.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,235.0,0.0,116.0,98.0,16.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,200.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,108.0,92.0,0.0,0.0,81.0,0.0,0.0,2.0,0.0,0.0,91.0,116.0,0.0,99.0,0.0,0.0,139.0,105.0,2.0,0.0,13.0,75.0,0.0,0.0,0.0,86.0,480.0,0.0,2.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
