ID,:,",",;,.,[,],(,),*,+,-,=,#,$,@,?,&,!,|,^,<,>,\,_
065EZhxgbLRSHsB87uIF,2240174,5161,1629029,2238698,2382,12713,1172,1018,641,3490,18195,6516,264,6248,8287,4295,145,193,833,7511,307,318,535,7658
08BX5Slp2I1FraZWbc6j,109488,10912,40133,103424,6515,6549,124,117,173,8370,56195,23024,135,741,224,701,131,123,131,233,322,270,660,14993
0aVNj3qFgEZI6Akf4Kuv,26337,14979,3976,25748,1585,1567,120,146,56,4769,6670,3029,58,49,139,779,72,71,84,41,40,48,38,4123
0DbLeKSoxu47wjqVHsi9,136735,43195,17261,134024,8377,8401,437,411,770,10213,31876,8110,65,72,303,2429,127,42,77,39,74,82,148,15383
0EL7OGZKozbiNCVP61gk,127854,173186,6425,303,2508,2509,2241,2245,205,33507,287882,1235,6,14,21,907,7,5,9,7,7,6,7,1754
0eN9lyQfwmTVk7C2ZoYp,3928,415,1169,3745,30,31,59,58,6,151,4973,2286,15,16,2,544,1,5,9,0,1,1,0,386
0GUIi7xAlODwZ4YBenNM,288894,2693,225584,288191,924,943,363,335,117,1623,7266,2291,13,8,120,3073,19174,36,20,39,29,100,30,2852
0hZEqJ5eMVjU21HAG7Ii,4082,445,1211,3913,14,15,64,64,11,171,4325,3420,15,17,1,580,1,5,8,1,2,1,0,455
0hZqVRKkw7GfMdpalLiN,791634,3968,681928,791192,3305,3194,3202,3060,3088,3537,7420,12660,3005,3056,3002,3542,3113,3098,3063,3027,3090,3081,3129,4204
0I4ZVvngsAatm8fzD3pk,81487,19521,18332,73178,11234,11233,869,844,482,16822,98800,38274,1,4,106,2663,2,11,13,2,186,185,712,33535
0Iv6U2hbcP1xeBitW5Oo,146930,2269,102327,450,2303,2159,416,357,275,1940,11398,4665,220,288,335,242,346,282,257,244,289,253,265,3211
0K4sTCLtrIJ5SinQbe7u,3791,982,565,3543,152,152,64,64,5,365,5134,2840,0,0,1,505,0,0,8,0,1,1,0,662
0mgFnqeLAMr7jthUYRTv,15486,15157,3772,14796,1632,1637,143,164,216,5017,8791,3542,64,51,109,763,41,84,55,52,52,42,50,4818
0MmZ8j5pn2R3VG9wlxYi,81539,89199,5968,315,1658,1662,195,192,98,15169,133886,1259,17,21,31,1006,12,19,23,18,21,24,14,1097
0NyfGXt8nmlK72Q9Irhs,99753,26375,17616,91023,16124,16124,1980,1981,658,19980,195094,68494,5,4,398,2881,26,0,8,0,440,434,113,35906
0PlfqyKM1JtYZx2me5FU,4118,445,1229,3944,13,14,64,64,9,180,4773,3474,17,16,1,580,1,5,8,0,1,1,1,466
0PREAmkFZjrftD3LiwOV,151211,383683,27960,150171,833,825,4277,4243,206,97746,5068,1302,41,56,149,3481,28,34,239,143,64,102,124,4676
0pXDqTLSebKWgaUOdnVE,189937,4918,82883,187937,994,993,807,780,534,2031,48475,5546,319,424,379,3646,393,337,384,333,289,429,580,9249
0qV43bnIcBDPF1WlG6tJ,72865,263819,1006,72003,828,828,140,140,7,67073,1213,2063,0,6,5,592,0,0,8,0,2,2,0,2464
0rGlKyvn5Vo67RaDhPti,15120,14947,3670,14304,1671,1659,145,200,88,4841,8616,3593,102,56,122,778,46,116,69,57,82,71,51,4746
0S7z4qxYTHPUDO8fgIyA,20053,3821,3606,18184,1897,1894,166,141,236,3074,25616,6566,1,2,15,847,2,12,10,2,28,28,60,6201
0sH5GdO3LpZwMbPaXjfN,15336,31958,1368,14560,954,888,166,160,39,8715,1366,2502,0,6,6,808,0,0,8,0,4,2,4,2905
0SHJ2aOnMCUGdLZrTQDV,3775,1001,551,3535,164,164,53,53,21,413,3350,2890,0,0,1,505,0,0,8,0,2,2,0,684
0SIqXMkDBWKE8s9pQaOv,8460,5003,2722,7522,1248,1248,1463,1463,23,1912,13022,3742,0,0,523,721,0,0,8,0,2,2,71,4596
0sLBvJeYl5UkiRzV1atI,79257,116423,3807,239,1767,1768,1324,1325,97,23648,156755,1663,3,12,27,770,2,50,19,3,4,6,8,1438
0sM2atqTo48GgnFwhQXu,127964,172481,6610,311,2511,2509,2200,2203,185,33011,293289,1130,14,23,20,900,6,6,14,4,6,9,5,1676
0sYDNzwVMaWE2TIZeA81,6288,664,2307,5956,217,220,57,57,17,385,7233,4654,8,14,5,518,7,7,11,3,17,14,11,931
0tZy7jgOKCIJslPRvrop,814961,6006,554410,814350,3449,3537,2858,2573,2413,3465,19263,7876,2640,2648,2680,4151,2362,2597,2343,2382,2277,2301,2592,4198
0uZcAvaHLitbWmC1QMXf,445336,172542,174365,438894,10750,10871,5775,5541,1471,51104,154353,20958,303,317,1475,4590,401,258,1081,915,501,568,1519,19878
0V6UmdMg7wQGXslAzORJ,161790,509254,29824,160764,944,929,6878,6836,185,108089,10676,1343,23,38,93,3409,16,25,224,106,43,42,98,4710
0VnTurd7B4YsH63wUGJ2,6106,8121,857,301,466,466,116,116,29,2287,4109,1004,0,1,17,997,1,1,8,2,1,2,0,869
0wkFafuhqSr1Z5J7K6C9,167529,5555,135755,166642,2578,2575,928,872,499,1977,20485,3400,428,466,468,2303,465,1459,445,1486,1502,1596,440,2543
0XrH26wcU1ASsvK5ZqhD,19578,7743,2140,18969,720,718,150,144,29,2492,7829,2036,2,1,40,1001,3,6,11,1,9,11,10,2093
0YCvp8xd4rjiDMKFV9PA,118754,36126,17282,116033,8377,8401,439,413,771,10225,31726,8110,65,72,303,2461,127,42,77,39,74,82,148,15400
0ZAJlqmphO4fjnVB6bMz,16637,16362,4311,15820,1609,1614,129,141,55,4772,11108,3557,41,46,100,734,28,50,46,34,35,32,37,4715
13FZ9DOhywk78sJiVULu,70912,267022,944,69931,1040,1040,159,159,23,64481,1186,1882,0,9,3,824,0,0,8,0,2,2,0,2829
148bgAqCj3NzaHwSP0Gu,815587,6570,553383,814955,3648,3643,2725,2652,2307,3626,22513,8195,2614,2568,2751,4415,2357,2646,2491,2363,2394,2443,2588,4203
18te652nLyCi3IrZqMOJ,4258,425,1216,4088,12,13,61,60,8,174,4781,3528,17,15,2,579,2,5,8,1,2,1,1,453
19B6wSHOLmjhGPoquTbW,16213,32797,1192,239,799,803,189,192,16,8149,16386,1499,0,3,32,732,0,2,9,1,2,1,1,1344
19lTEvHhVDprkGxgXLcf,791683,4047,682407,791191,3267,3168,3054,3159,2992,3547,7393,12297,2992,3059,3106,3571,3105,3107,2958,2993,3080,3076,3035,4144
1aAwe4J9VHrsq8uEoZhf,105879,22267,20735,95345,11946,11948,549,522,354,17398,130270,65008,23,14,522,4776,12,18,19,9,204,203,449,37038
1ARrSUKCbhWeTFyjp4ix,18104,15824,5304,17152,1556,1557,220,248,79,4610,10993,3595,88,80,121,923,65,99,68,58,57,58,68,4598
1AXVt0D9mSU26fL4iFGc,31866,6667,6437,28916,3530,3529,183,158,190,6171,45660,13674,3,7,43,1751,3,11,11,4,13,13,58,11080
1BDCxE2AMQN9yH6sWdIo,2479284,7350,1906132,2476994,3097,8910,1474,1361,676,4498,21618,8223,137,16380,8797,4937,169,136,984,7175,590,462,560,8585
1bL4yiwCUvSOg7tBJudf,267741,3384,228951,267445,1709,1667,1077,1018,1110,2444,7989,2051,1011,1039,1068,1593,992,943,1005,955,1003,1035,1010,2084
1buWc2A0VeMrkNpohCPy,791616,4012,683035,791131,3249,3123,3138,3179,3100,3604,7072,12368,3012,3097,3089,3561,2971,3053,3126,2965,3109,3031,3157,4255
1DNWriJEg56S03yvjTBu,164169,32777,26702,145917,20576,20576,1730,1732,174,30279,357083,101274,0,6,13,5237,0,0,8,0,393,393,1036,60632
1EisIfzGOTX8hKaFH6uy,3790,994,579,3528,144,144,52,52,11,401,3567,2945,0,0,1,505,0,0,8,0,2,2,0,717
1eJx34l8pcAFvMuOwrjB,314485,83294,38118,169614,24526,24526,14055,14028,5467,30176,169008,150162,1,43050,213832,85882,8161,32,8,1,47844,47932,3,187787
1eOaAY4fpV38LIdhxl95,93120,3061,74817,92241,701,670,513,318,460,930,42767,1870,244,628,415,489,426,220,393,440,442,398,424,1441
1GRsOmJXetEkqIraBuSd,917748,9547,565976,913902,5468,5186,2809,2352,2445,7994,66357,9828,24292,1715,3123,3753,1419,24691,1125,1307,1387,1157,1181,12376
1h7nkscUw5lDurHXPE20,109488,10912,40133,103424,6515,6549,124,117,173,8370,56195,23024,135,741,224,701,131,123,131,233,322,270,660,14993
1hK3zVxBGXmtTP6JlHwb,210345,64252,69446,195241,42646,42656,3727,3682,3816,58244,242878,31388,142,170,403,6506,178,182,264,113,575,1935,192,54586
1KCvMqIFUoaB6wfOc2xQ,4089,414,1199,3920,13,14,60,60,7,175,4549,3420,14,18,1,580,2,5,8,0,2,2,1,452
1L8Wt9XTV3pInwaqiobG,3829,999,612,3564,137,137,54,54,5,378,5052,2946,0,0,1,505,0,0,8,0,3,3,0,719
1MjkqlJ7L6EoAPXb2fKV,180172,11471,78351,176714,1455,1387,889,900,719,3525,81455,7807,342,347,445,4414,299,348,324,330,316,342,447,15003
1mlhNbQOFU0VtAP8ZJBk,14769,14975,3593,14021,1646,1654,148,180,78,4836,7385,3278,95,72,114,807,46,102,70,61,55,51,55,4652
1mStzMaQ8RUVBx7TkF4o,13982,5010,2172,12367,2895,2894,130,129,95,5157,29985,5022,1,1,10,920,1,0,8,0,8,6,1,5697
1NiArstKkEmMf0vjDd7l,4138,446,1215,3957,15,16,65,64,9,168,5153,3312,16,15,1,580,1,5,8,0,2,1,0,462
1Nu6CWGKlM4Xgi2x9a8H,80537,88675,5651,319,1551,1558,197,207,111,14880,132290,1191,11,16,30,921,19,14,28,16,10,12,15,887
1NvKF7pMREf4iVyzZewr,7440,4974,1571,7154,734,723,19,21,26,1741,3789,1363,1,2,128,206,3,2,8,0,3,4,3,2269
1OHzGWXBTlpyVsIPK3kj,21297,8760,3131,18945,4869,4868,148,146,146,8797,42770,5856,1,1,11,1054,1,0,8,0,10,6,6,9275
1PQFYMSBLAO9TmKk2Zhj,114182,2126,96317,113894,567,538,485,484,440,898,7745,1330,449,594,410,933,440,403,423,444,421,407,452,825
1q92fF8uKHitWlaIkXzQ,149176,49365,26046,106767,20880,20879,14555,14555,13136,26131,203105,78117,0,5486,53003,16448,7009,7,25,0,4115,4117,25,59489
1Skcwz5YxWihMqIyt30X,80803,88021,6029,321,1621,1624,206,206,101,14861,137612,1143,20,12,37,1018,18,18,23,15,17,22,19,1036
1T3m7BMCLXpu9JjyKH8R,51404,21554,6867,49556,3081,3086,404,375,422,5905,11524,6052,13,29,244,2574,84,12,42,8,44,44,101,9477
1TKPznCeQg9cHYflavwb,40238,9246,8342,36377,5059,5064,186,159,256,7421,55236,15575,17,12,198,1410,13,14,28,8,39,38,21,14091
1tzCLRxMuGS0yKI3lj8c,23725,4680,4953,21617,2412,2412,139,125,169,3856,29458,8930,3,3,96,1245,3,9,13,4,10,10,23,7601
1uNTL24yHl3EVFidSzUA,198502,11468,85595,195029,1405,1495,893,801,845,3786,75380,7777,389,422,409,4088,346,343,372,334,340,351,578,14469
1vQKJIkiBaTVxc5uYCZW,138790,322114,29606,137738,1166,1168,3833,3803,181,82193,14544,4095,20,65,141,2745,27,23,125,114,67,53,103,5097
1YAFzJjOeKUCc7pubM9q,161171,8032,64177,159670,1497,1460,467,443,270,2554,37735,6069,287,261,294,1057,249,291,285,301,286,294,412,9754
1yC7BzWHgtI2FibhQ0km,281167,2052,241615,281094,1109,1085,1137,1138,1142,1350,1659,1595,1110,1290,1100,1526,1066,1036,1029,1122,1106,1124,1052,1228
1zVtBw2rdTN9j7a4xZE0,16585,15691,4189,15605,1673,1659,177,222,78,4810,10398,3477,69,61,110,769,46,84,65,52,58,49,50,4965
21l6VM9tKEuCUhL7DjeY,16002,3557,4673,13976,1842,1840,241,241,72,3449,22705,5198,0,0,1,3505,0,0,10,0,8,8,51,6463
25JcvPNOIBXgSrAEtpUy,4120,404,1185,3937,29,29,59,57,7,161,4747,2664,15,17,1,599,1,5,8,1,2,1,0,403
25jQ4xItcnbB6Hfo0E9T,245072,80474,16814,242626,4576,4600,427,401,640,7650,18131,7563,65,74,299,2544,127,42,77,39,73,81,142,11003
27V4S1ncC3fj0gitGuDI,31049,35053,2521,299,788,788,152,156,59,6514,48801,998,5,10,23,999,4,6,16,3,7,8,2,835
29FZvBJyX0GbnaLAYeKw,3553,930,690,3321,237,234,59,59,6,348,3538,2732,1,0,2,505,1,3,8,0,5,5,1,557
2bf65CdkZTUGXjzq9KNJ,203397,389112,53402,200843,4487,4449,2549,2485,716,102171,42022,13137,158,189,665,4334,181,109,291,173,247,213,237,11285
2DbfJX4WgzP0R8BwrHyS,2333815,5691,1691378,2229167,2459,10363,1118,922,595,3744,15045,109314,142,6297,11022,4517,155,207,104898,696763,448,326,584,7221
2e5P1iKzXugGRBFfOEnc,531586,6774,397728,529360,5378,5387,1843,1834,1562,5400,40095,23435,1504,1486,3761,2171,1515,1570,1592,1600,1505,1525,1680,8696
2ECqL8au6iS3jNJDoOdn,788889,3542,681567,788805,3122,3063,3095,3067,3113,3247,4170,5190,3125,3090,3056,3610,3047,3124,3121,3112,3035,2996,2994,3363
2EgZDWKnJV3Gz4TkIiYU,3796,979,537,3537,130,130,65,65,5,363,5192,2897,0,0,1,505,0,0,8,0,1,1,0,674
2eJq8SOvi1Bs4T9XNEj6,149264,1686,130434,148855,843,836,436,956,548,2550,4225,2093,1648,775,529,917,536,2120,818,409,1690,450,714,1740
2FfmJdWv6RrIjzYhaKZ1,3865,977,588,3595,141,141,64,64,4,385,5589,2791,0,0,1,505,0,0,8,0,1,1,0,723
2gMFLJAaNEkx7oWRwl54,947382,6523,660420,944709,3577,3266,2645,2218,2175,87879,46303,7045,21773,1779,3251,3734,1394,20597,1058,1384,1389,1251,1232,8799
2gwSoct3BzRUvajVeCLu,3934,414,1166,3754,31,32,59,58,6,145,5128,2286,16,16,1,544,1,5,11,1,1,1,0,384
2jHV3wyk5aDGBs9SFCvW,27498,30583,2271,304,779,784,141,150,66,5754,42255,1242,4,3,36,988,8,8,12,7,4,5,7,905
2kjJp4LQZsyxwquaB7WA,3597749,3926,1634762,3596365,1802,10963,807,661,445,2864,11489,3597,67,13395,14362,3085,112,202,678,12693,295,518,234,6261
2L8T9IgSrJs7mlF5PueZ,128439,3196,69219,127962,2540,2550,255,238,313,3206,8785,3323,257,207,331,623,222,286,461,300,376,384,308,3721
2LR1cT43f809ZG6KUd5l,22201,86513,93,26,42,42,16,16,0,21823,756,505,0,0,1,260,0,0,8,0,1,1,0,81
2mZqzjspRt5Xy4B9f03L,6206,635,2229,5882,248,251,57,57,59,366,4605,4343,9,14,7,517,7,6,10,4,17,14,12,894
