,Id,Class
15,0I4ZVvngsAatm8fzD3pk,1
23,0NyfGXt8nmlK72Q9Irhs,1
29,0S7z4qxYTHPUDO8fgIyA,1
30,0SIqXMkDBWKE8s9pQaOv,1
43,1aAwe4J9VHrsq8uEoZhf,1
44,1AXVt0D9mSU26fL4iFGc,1
49,1DNWriJEg56S03yvjTBu,1
51,1eJx34l8pcAFvMuOwrjB,1
56,1hK3zVxBGXmtTP6JlHwb,1
65,1mStzMaQ8RUVBx7TkF4o,1
67,1OHzGWXBTlpyVsIPK3kj,1
70,1q92fF8uKHitWlaIkXzQ,1
76,1TKPznCeQg9cHYflavwb,1
78,1tzCLRxMuGS0yKI3lj8c,1
115,2oyTpmYF4tSuBH9kXQc7,1
124,2SnRYbpqifxILdT4Wg9m,1
135,2ZPDI3tv7UdhkfRWu54L,1
141,39gowdFUK2kGxcBnbALH,1
168,3LOYzcPQdE7yresjlXVm,1
175,3PUsV4jflnCw8mGHZIgK,1
184,3X2nY7iQaPBIWDrAZqJe,1
185,3xhmsIkdn7FPL4G9a0Qg,1
198,4bEmQThjKsiSPcFfzv1q,1
203,4f91UESFtRDrnLdyZOCN,1
220,4n5LKPoBHSyfNz6iWJeQ,1
237,4wIxhDlpCbJVkZLfHKtP,1
240,4XEdp5nArx9TN3qZ62kf,1
244,50f7jCS4w3hED2ueRosN,1
259,5iJsI0VCgF2D1Gukdayc,1
270,5nPbr70kNiOSQGZmL8IH,1
275,5PIwjdM6ROvnbiN9Dx0a,1
306,69jsYQMcGwzrBLUPRb5e,1
309,6aTHENeI5PBYgzJndM7V,1
316,6JckVCSUd5azvlGjBtbu,1
324,6pvAOQCLGgPa1EKniNW0,1
331,6SHqMnAlwd79OrYL50Ti,1
332,6slf2AGqxWCP53Z9NuhI,1
339,6TUw1J5DR47dAgmjHLOs,1
342,6w02fn5UqNDMd1tISWKc,1
350,76cGRgDJyFW08rY1tz59,1
353,7a5RVl9htyOJcBUK4rQm,1
354,7aEbXfVnzhG6dRMLT58q,1
366,7IrpXlvH6LOStVaewBPg,1
371,7l4AkQw3Gx8XRcJO1gaK,1
380,7QtHrPMIOSsxAde6wnv0,1
381,7rneDC6Ng10vEPuicRWV,1
382,7RVrih9gAL1FodIKNTc2,1
383,7s4hmScB9p6HZfNFwVri,1
405,8cXfpniBZaYVAzg5xt19,1
428,8PuImCboM1zNrUSD7OhV,1
429,8rKwml3nGVhWAiUjDH19,1
432,8VlJEcmXepIy9RS3GMTq,1
462,9hu54PH0G1qoxEmT7AMb,1
468,9KBhpLPe6o13q0QHMjk4,1
478,9OufdwHvaNyjoQBbePC4,1
482,9tmX2JACrdeGWHkY3fwi,1
514,Aa9zCWtbpOo750IlMRdY,1
522,ADIq5LFowdEuPMOGXVcl,1
529,AFY7KdVJNL9ng4pjk1mx,1
538,AHzQrG8e6qDat3lpK4M2,1
548,al2koZ501X8hjATSLqgf,1
561,APHtWI0Cm8T2yK9ZeBFM,1
570,ASEw3L0HqWMePiy1uKxc,1
578,atyecAsOdg0rzCXHNvxT,1
582,Auv3RhZlU6tXcdDQjg2i,1
590,axVyZFikJAs2RWgrB37u,1
599,B0QeAmgHpSR3Gi4FDTZl,1
614,B7yT9jiIw8OkC3SMlRAF,1
615,B8JrNPWkKaxyn5ci1qYb,1
619,baFEBY4n92ZshpjgdGTc,1
620,bakvuMgD2Xfh7JOTKQwm,1
621,bAPu2lGC9t5NF0EvZU7H,1
629,BFIzDn0r5aKum4ibGtHP,1
636,BhQ38lHiDYTZUVbyonKF,1
668,bpVDY17A6qN8IiHZyBmo,1
670,BqMf1a4lXre5iLzPZh7j,1
672,bQZP8pT9VRCnk0OM2Etu,1
674,BRcPd4zStO9XVsnayUYw,1
677,BrjnTVGRdhciKsH9Ytxo,1
679,BRkJYSwtpVQZ1fj76h8U,1
680,brsxDiLaBgj315Emol4K,1
707,C1OlcN2H8W0YATqZxipn,1
721,C9hHuINUVJqk1zo5pTQX,1
736,CdBnaqstfPMA9NXroOJh,1
